country,production,produccion
Total worlde,1961,15200
Total worlde,1971,33401
Total worlde,1981,37136
Total worlde,1991,47262
Total worlde,1994,49658
Total worlde,1995,50046
Total worlde,1996,51496
Total worlde,1997,53474
Total worlde,1998,52093
Total worlde,1999,54948
Total worlde,2000,58946
Total worlde,2001,56325
Total worlde,2002,58973
Total worlde,2003,60331
Total worlde,2004,63963
Total worlde,2005,66085
Total worlde,2006,69124
Total worlde,2007,72640
Total worlde,2008,69584
Total worlde,2009,60254
Total worlde,2010,76148
Total worlde,2011,78396
Total worlde,2012,81619
Total worlde,2013,86953
Total worlde,2014,88752
Total worlde,2015,90175
Total worlde,2016,94031
Total worlde,2017,96166
Total worlde,2018,95606
Total worlde,2019,90784
Total worlde,2020,76364
Total worlde,2021,76364
U.S. percent of world,1961,43.8
U.S. percent of world,1971,32
U.S. percent of world,1981,21.4
U.S. percent of world,1991,18.6
U.S. percent of world,1994,24.6
U.S. percent of world,1995,24
U.S. percent of world,1996,23
U.S. percent of world,1997,22.7
U.S. percent of world,1998,23
U.S. percent of world,1999,23.7
U.S. percent of world,2000,21.7
U.S. percent of world,2001,20.3
U.S. percent of world,2002,20.8
U.S. percent of world,2003,20
U.S. percent of world,2004,18.7
U.S. percent of world,2005,18.1
U.S. percent of world,2006,16.3
U.S. percent of world,2007,14.8
U.S. percent of world,2008,12.5
U.S. percent of world,2009,9.5
U.S. percent of world,2010,10.2
U.S. percent of world,2011,11
U.S. percent of world,2012,12.7
U.S. percent of world,2013,12.7
U.S. percent of world,2014,13.1
U.S. percent of world,2015,13.4
U.S. percent of world,2016,13
U.S. percent of world,2017,11.6
U.S. percent of world,2018,11.8
U.S. percent of world,2019,12
U.S. percent of world,2020,11.5
U.S. percent of world,2021,12
Argentina,1961,136
Argentina,1971,253
Argentina,1981,172
Argentina,1991,139
Argentina,1994,409
Argentina,1995,286
Argentina,1996,313
Argentina,1997,446
Argentina,1998,458
Argentina,1999,305
Argentina,2000,340
Argentina,2001,236
Argentina,2002,159
Argentina,2003,170
Argentina,2004,260
Argentina,2005,320
Argentina,2006,432
Argentina,2007,545
Argentina,2008,597
Argentina,2009,513
Argentina,2010,724
Argentina,2011,829
Argentina,2012,764
Argentina,2013,791
Argentina,2014,617
Argentina,2015,543
Argentina,2016,493
Argentina,2017,496
Argentina,2018,491
Argentina,2019,338
Argentina,2020,272
Argentina,2021,460
Australia,1961,231
Australia,1971,470
Australia,1981,392
Australia,1991,284
Australia,1994,354
Australia,1995,331
Australia,1996,322
Australia,1997,349
Australia,1998,384
Australia,1999,311
Australia,2000,348
Australia,2001,319
Australia,2002,344
Australia,2003,413
Australia,2004,405
Australia,2005,389
Australia,2006,328
Australia,2007,332
Australia,2008,324
Australia,2009,223
Australia,2010,239
Australia,2011,219
Australia,2012,221
Australia,2013,211
Australia,2014,175
Australia,2015,168
Australia,2016,156
Austria,1961,13
Austria,1971,7
Austria,1981,15
Austria,1991,20
Austria,1994,48
Austria,1995,68
Austria,1996,106
Austria,1997,108
Austria,1998,103
Austria,1999,139
Austria,2000,141
Austria,2001,155
Austria,2002,151
Austria,2003,140
Austria,2004,249
Austria,2005,253
Austria,2006,275
Austria,2007,228
Austria,2008,151
Austria,2009,72
Austria,2010,105
Austria,2011,153
Austria,2012,143
